source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,high_ruwe,tau_ce_days,rossby_number,tau_ce_err_days
Pass2022,TIC 22819180,1500827225817637376,204.0003352949676,40.4034207015056,39.22050006847484,26.35661376594692,0.617,,,,coeval_mm,42.350579611406,0.0229620356112718,3.1930113,3.1930113,0.0,1.4539708,13.904732704162598,MM,13360002+4024118,9.823,0.018,0.0,0.0,9.823,7.9572967923788145,False,0.1811996004116476,0.0042608822450896,0.0042910069175485,True,214.2697066900901,0.0028795484416861625,31.134821780580015
Pass2022,TIC 22819191,1500826882220275712,203.9989391639973,40.36289772337963,37.07927243140012,26.908932391231417,0.787,,,,coeval_mm,42.3239823324059,0.0360612832009792,3.4788618,3.4788618,,1.4430013,14.627533912658691,MM,13355969+4021459,10.298,0.018,0.0,0.0,10.298,8.430932622122942,False,0.1454613975180916,0.0034120061549344,0.0034641176535467,True,214.59,0.0036674588750640756,30.9
Pass2022,TIC 197569385,6586289025083317248,325.85964421431134,-37.13009184925865,135.13716560965824,55.19014474666538,0.443,,,,coeval_mm,23.75630660466512,0.0322578437626361,3.0603666,3.0576665,0.0027,1.0654002,15.081759452819824,MM,21432612-3707491,11.148,0.022,0.0,0.0,11.148,8.026894608756294,False,0.1752513393367664,0.0042616622196545,0.0042913113169242,False,214.59,0.002064401882659956,30.9
Pass2022,TIC 197570145,6586283493165510656,325.9774582989289,-37.09624704304156,135.22976508891634,55.852728203492106,0.585,,,,coeval_mm,23.64769168263722,0.0421818383038044,3.1940498,3.1940498,,1.113432,15.451098442077637,MM,21435439-3705473,11.42,0.023,0.0,0.0,11.42,8.288943772214937,False,0.1550640203674891,0.0037785535989348,0.0038181796881319,False,214.59,0.0027261288969663076,30.9
Pass2022,TIC 37664980,2443287533259504640,2.49025752170618,-6.604171944776385,250.2928262870149,-3.3181846233356014,1.729,,,,coeval_mm,28.30725861023992,0.021681135520339,2.945094,2.9445941,0.0005,1.1549664,13.86367893218994,MM,00095737-0636149,9.979,0.023,0.0,0.0,9.979,7.23848906281041,False,0.2575286990163992,0.0062743481538681,0.006397061236727,False,220.73223933410094,0.007833019794552896,43.857358503115535
Pass2022,TIC 37664990,2443300108923745280,2.5004414307311045,-6.533649818128608,250.29667630916907,-4.559250766946164,1.562,,,,coeval_mm,28.25865027585999,0.0251420065760612,3.0753622,3.0753622,,1.1173128,14.316140174865724,MM,00095982-0632010,10.277,0.019,0.0,0.0,10.277,7.532757073524351,False,0.2229339326727486,0.0052890547596209,0.005312370952006,False,205.22513532055956,0.007611153465973707,39.130848551414275
Pass2022,TIC 206617113,4910034311033268224,23.095770809509087,-56.31091116424945,1.3336436878153322,85.13399174651761,0.49,,,,coeval_mm,28.8023016307859,0.0156615041196346,2.953927,2.953927,0.0,1.1760747,14.142046928405762,MM,01322297-5618407,10.268,0.023,0.0,0.0,10.268,7.565135971020029,False,0.2193993074495209,0.0053655789532608,0.0054166277720111,False,204.0703849109779,0.002401132335854386,38.612414433243714
Pass2022,TIC 206617096,4910041870175700992,23.21273507384065,-56.17850860779182,1.7236743848764426,84.74643256336343,1.041,,,,coeval_mm,28.768932935166607,0.0199718512594699,3.018608,3.018008,0.0006,1.3075144,14.343390464782717,MM,01325106-5610440,10.447,0.025,0.0,0.0,10.447,7.741618769138247,False,0.2011906696153003,0.0050304002147772,0.0050971676753008,True,208.93209121271482,0.00498248016356737,35.048073577195034
Pass2022,TIC 43734215,4500735468299666944,265.2847424915281,15.075429498846097,-45.376729558999976,-62.64403768714895,1.201,,,,coeval_mm,28.58214238315958,0.0207985546439886,2.68746,2.68666,0.0008,1.2820605,12.401039123535156,MM,17410839+1504327,8.694,0.017,0.0,0.0,8.694,5.974473891748744,False,0.4482276701534541,0.0103287438078673,0.0104169241687488,True,78.39572689852918,0.015319712534262281,5.732154123081823
Pass2022,TIC 43789224,4500722037941674496,265.4532759707498,15.032131464194384,-45.37018648748815,-63.47845018794927,0.287,,,,coeval_mm,28.802186329224163,0.0246683582663536,3.1778097,3.1778097,,1.2352464,14.08994960784912,MM,17414884+1501567,10.028,0.018,0.0,0.0,10.028,7.325127278150118,False,0.2468546323087042,0.0057770017724789,0.0058605760815381,True,215.94758893237665,0.0013290261837092018,42.39901413917671
Pass2022,TIC 84731806,2033828956446083584,298.1126017327238,31.921862917997277,89.04621720983299,-2.7900558533131563,1.993,,,,coeval_mm,30.26646287509402,0.0134791797026991,2.7313128,2.7205129,0.0108,1.206802,13.299335479736328,MM,19522690+3155187,9.588,0.017,0.0,0.0,9.588,6.992808347996085,False,0.2899004451321949,0.0067477736875605,0.0068541905338769,True,235.24287453050636,0.008472095080361498,48.28014831618612
Pass2022,TIC 84731362,2033830811871995136,298.11252825703093,31.96997414048599,89.94595095801012,-1.6977238385648317,3.034,,,,coeval_mm,30.200745823433703,0.0143393687903881,2.8355331,2.8354332,0.0001,1.2175287,13.412216186523438,MM,19522688+3158119,9.625,0.017,0.0,0.0,9.625,7.0250883411106155,False,0.2854802374171952,0.0066862370213076,0.0067158527094747,True,233.26151642225776,0.013006860482325563,47.67623743712429
Pass2022,TIC 450297524,811471054819228288,142.88669409613888,39.06059924755868,-36.126915677122895,48.75577001184022,22.0,,,,coeval_mm,25.604529029176323,0.0181574188172817,2.2214746,2.2214746,,1.3131323,12.086569786071776,MM,09313285+3903373,8.784,0.019,0.0,0.0,8.784,5.825583959061213,False,0.4727000942841396,0.0110061572239625,0.0111505438177171,True,74.17423373598592,0.29659895211464266,5.4262488214482545
Pass2022,TIC 416857959,811471192258182144,142.84352833167128,39.04515774137207,-36.38690403253694,47.46327159062984,17.0,,,,coeval_mm,25.627100142151708,0.0204620957374572,2.3785343,2.3774343,0.0011,1.3591689,12.347330093383787,MM,09312249+3902417,8.926,0.02,0.0,0.0,8.926,5.969497329884746,False,0.4489978978597546,0.0104641594872809,0.0106105399452994,True,78.26286261919235,0.2172166904080391,5.722526276753068
Pass2022,LP 68-239,1641500667620665088,235.55862995156676,65.55399792513747,-103.62458505996014,131.42173728255457,2.207,,,,coeval_mm,25.69386578247272,0.0192357059568166,2.731842,2.731842,0.0,1.4779423,12.985550880432127,MM,15421432+6533122,9.275,0.02,0.0,0.0,9.275,6.32414725579862,False,0.3909653904393309,0.0092095175267821,0.0093015493051092,True,123.55685373110427,0.017862222396849592,9.1452241401506
Pass2022,2MASS J15421300+6537051,1641502179449156096,235.5531021010896,65.6186758028899,-103.2121029067809,131.0453491968533,0.617,,,,coeval_mm,25.690623364969323,0.0108772572129964,2.888956,2.7952561,0.0937,1.1374726,13.232928276062012,MM,15421300+6537051,9.365,0.02,0.0,0.0,9.365,6.413873211227002,False,0.3765576074731447,0.0088735307809527,0.0089411328881295,False,139.852752546612,0.00441178302725474,11.74484489892508
Pass2022,2MASS J21005492-4131438,6773423224070637568,315.23106509873224,-41.53001305449744,358.70566092638245,-254.08041736795337,8.95,,,,coeval_mm,53.35361701891157,0.0255606193095445,2.8340225,2.8340225,,1.1720746,12.40428638458252,MM,21005492-4131438,8.6,0.023,0.0,0.0,8.6,7.235819335119821,False,0.2578792384658528,0.006337222311248,0.0063819520303176,False,220.88936864231852,0.040518020649932436,43.905250955397136
Pass2022,2MASS J21010380-4114331,6773453838597541888,315.2680353695968,-41.24370426778464,358.7432730261651,-253.34982942058713,1.059,,,,coeval_mm,53.26757820617179,0.03280995413661,2.9830103,2.9830103,,1.5659926,13.003039360046388,MM,21010380-4114331,9.094,0.019,0.0,0.0,9.094,7.726314760852554,False,0.2027182600136982,0.0047902149198151,0.0048316153530961,True,208.5242245763426,0.005078546639612562,35.34709939768142
Pass2022,G 115-68,811947078931179264,139.82759580927464,38.52107982875901,-234.5492213294861,-0.9612695841710568,0.748,,,,coeval_mm,51.736767906469005,0.0201206728816032,3.0485802,3.0482802,0.0003,1.3002204,13.049586296081545,MM,09191895+3831159,9.059,0.026,0.0,0.0,9.059,7.6279964701602685,False,0.2127426481273111,0.0053664779966624,0.0054138607734286,True,205.84771295000792,0.003633754241329166,37.30937337092115
Pass2022,G 115-69,811947108994206976,139.82794371964084,38.52314527833168,-238.97412138863393,-1.2417359063752853,0.854,,,,coeval_mm,51.72688058788411,0.0212071128189563,3.0823278,3.0823278,,1.2603511,13.169244766235352,MM,09191904+3831233,9.15,0.026,0.0,0.0,9.15,7.718581444402161,False,0.2034920221516947,0.0051280888927417,0.0051642441421948,True,208.3176300854975,0.004099509002908214,35.49856333619424
Pass2022,LP 167-64,830705262697930240,158.6230533574868,46.30199034949204,-412.0746909312499,-102.76932293679111,57.66,,,,coeval_mm,41.26924711164329,0.0281372517347335,2.5925827,2.5924828,0.0001,1.450303,11.964638710021973,MM,10343020+4618090,8.344,0.023,0.0,0.0,8.344,6.4221327298678945,False,0.3752323879103517,0.0090476443186522,0.0090945363837902,True,141.58232972850226,0.4072542111050764,12.401159887398329
Pass2022,LP 167-63,830705297057680640,158.60508862654012,46.30576712286993,-416.49131523939974,-106.65675326819488,0.995,,,,coeval_mm,41.199463139231554,0.0339712500572204,3.416315,3.416315,,1.2029525,14.576099395751951,MM,10342590+4618226,10.324,0.02,0.0,0.0,10.324,8.398457784390384,False,0.1475687661065093,0.0035227441854617,0.0035588236853968,True,214.59,0.004636749149540985,30.9
Pass2022,LP 613-49,3795993633527490560,176.9183832811517,0.2551360375501735,-314.28368121758723,-100.7567914738442,11.76,,,,coeval_mm,53.13605503515882,0.0303737483918666,2.8778238,2.8778238,0.0,1.3083901,11.966901779174805,MM,11474074+0015201,8.098,0.029,0.0,0.0,8.098,6.724946540354415,False,0.328381259509933,0.0083677498660443,0.0085205136182742,True,202.72890868209868,0.05800850049679387,35.604181227705666
Pass2022,LP 613-50,3795993633527490560,176.92404164490358,0.2512338759265444,-306.0249304955219,-100.28750979722614,1.66,,,,coeval_mm,53.01830200857152,0.04750756919384,3.806594,3.806594,,1.1747273,14.813735961914062,MM,11474074+0015201,8.098,0.029,0.0,0.0,8.098,6.720129073405951,False,0.329125120931929,0.0083861948348926,0.0085084766308383,False,201.75807654371613,0.008227675582743364,35.23578385846214
Pass2022,G 116-72,808270896163474176,149.827694841564,43.839406670712435,-99.08794478480884,-221.38794153516488,0.755,,,,coeval_mm,36.74719130705888,0.0249803736805915,2.7466888,2.7466888,0.0,1.298905,12.583740234375,MM,09591880+4350256,8.859,0.016,0.0,0.0,8.859,6.685120751596184,False,0.3343796624484987,0.0077330116273673,0.0078272930380609,True,194.90024304690314,0.0038737765956418416,32.63347217238101
Pass2022,G 116-73,808270896163473920,149.83657630240822,43.83947827911241,-100.49907557948774,-220.2180525730501,0.974,,,,coeval_mm,36.7225166030608,0.0281483754515647,2.8237638,2.8237638,,1.3086237,12.854988098144531,MM,09592093+4350258,9.067,0.016,0.0,0.0,9.067,6.891662179281595,False,0.3041012004834159,0.0070463985700885,0.0071184671790281,True,234.41742071908186,0.004154981302209658,47.62888046058828
Pass2022,GJ 669 A,4574048021719710208,259.9747987710552,26.50241183806962,-214.8369360518965,350.85021715315656,20.51,,,,coeval_mm,92.98565081391038,0.0252438765019178,2.680606,2.680606,0.0,1.4012246,10.147985458374023,MM,17195422+2630030,6.422,0.018,0.0,0.0,6.422,6.264079675396273,False,0.4006980594806767,0.0093086525989106,0.009362109577912,True,113.08060877499959,0.18137504053245293,8.351038346376779
Pass2022,GJ 669 B,4574048021719712768,259.9695666590066,26.502318754868263,-226.03992337713896,354.9842991855332,1.457,,,,coeval_mm,92.95830529602016,0.0304714553058147,3.128108,3.128108,,1.3778402,11.458685874938965,MM,17195298+2630026,7.351,0.026,0.0,0.0,7.351,7.192440987919755,False,0.2633496362235069,0.0066199562249796,0.006713404949921,True,223.34147443718697,0.006523642792596365,44.652644049036624
Pass2022,LHS 3808,2703757302393547264,336.5635181318511,3.0031336230215877,-493.62059646429935,-451.2418229130884,94.0,,,,coeval_mm,42.64193087409584,0.0300555322319269,2.7548304,2.7548304,,1.3250543,12.461413383483888,MM,22261576+0300182,8.714,0.023,0.0,0.0,8.714,6.863184309006645,False,0.3081278701981935,0.0075260604659111,0.0075774336471234,True,229.16211340758272,0.4101899681506849,45.63467228434467
Pass2022,LHS 3809,2703757298483054592,336.5623913792414,3.000124501722004,-496.9718439337176,-456.8803654885779,1.569,,,,coeval_mm,42.61184024700958,0.0450731329619884,3.5394697,3.5394697,,1.1299324,14.758967399597168,MM,22261549+0300075,10.371,0.021,0.0,0.0,10.371,8.51865145085018,False,0.1399662139474068,0.0033467826618437,0.003401280543188,False,214.59,0.007311617503145533,30.9
Pass2022,GJ 49,522863309964987520,15.668950820681058,62.345451222893885,731.0879947758527,90.53173556175588,19.0,,,,coeval_mm,101.42379529598418,0.0168781466782093,2.1754298,2.1754298,0.0,1.0359348,8.671337127685547,MM,01023895+6220422,5.371,0.02,0.0,0.0,5.371,5.401699289453245,False,0.5409484533733542,0.0128784987407731,0.013035110388413,False,61.05551406055766,0.3111922042152479,4.364341686355533
Pass2022,GJ 51,522864272041351296,15.83964458528098,62.36589259248621,730.398009578876,85.9667043087498,1.024,,,,coeval_mm,101.37235858535028,0.0479517057538032,3.305438,3.305438,,1.0717231,11.927245140075684,MM,01031971+6221557,7.718,0.02,0.0,0.0,7.718,7.747597755738377,False,0.2006088259692796,0.0047758558936516,0.0048108626577057,False,209.08744346620236,0.004897472478616455,34.93417768348648
